consulta,resultado_id,posicion,score,clasificacion_humana,observacion
test_17_D.jpg,AIM-P003-152,4,0.5878,Incorrecto,
test_17_D.jpg,AIM-P016-918,5,0.5867,Incorrecto,
test_18_D.jpg,AIM-P001-029,1,0.6175,Incorrecto,
test_18_D.jpg,AIM-P003-152,2,0.578,Incorrecto,
test_18_D.jpg,AIM-P014-828,3,0.577,Incorrecto,
test_18_D.jpg,AIM-P015-886,4,0.5763,Incorrecto,
test_18_D.jpg,AIM-P010-594,5,0.5756,Incorrecto,
test_19_D.jpg,AIM-P001-029,1,0.5417,Incorrecto,
test_19_D.jpg,AIM-P012-664,2,0.5036,Incorrecto,
test_19_D.jpg,AIM-P014-815,3,0.5004,Incorrecto,
test_19_D.jpg,AIM-P017-990,4,0.4872,Incorrecto,
test_19_D.jpg,AIM-P004-208,5,0.4864,Incorrecto,
test_20_D.jpg,AIM-P001-029,1,0.6572,Incorrecto,
test_20_D.jpg,AIM-P009-481,2,0.6277,Incorrecto,
test_20_D.jpg,AIM-P016-918,3,0.6104,Incorrecto,
test_20_D.jpg,AIM-P003-152,4,0.6092,Incorrecto,
test_20_D.jpg,AIM-P017-990,5,0.5859,Incorrecto,
