id,estado,motivo,dimensiones_normalizada,guardada,frente_detectado,espalda_detectada
AIM-P001-043.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-044.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=400",557x354,ok-saved,si,si
AIM-P001-045.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P001-046.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P001-047.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=398",554x352,ok-saved,si,si
AIM-P001-048.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-049.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",544x352,ok-saved,si,si
AIM-P001-050.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=399",554x352,ok-saved,si,si
AIM-P001-051.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-052.jpg,ok,"logo separado de bloque ancho x[91:703] | frente/espalda fusionados, separados en x=2379",700x452,ok-saved,si,si
AIM-P001-053.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P001-054.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=399",544x352,ok-saved,si,si
AIM-P001-055.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P001-056.jpg,ok,logo separado de bloque ancho x[15:116],551x352,ok-saved,si,si
AIM-P001-057.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P001-058.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P001-059.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",545x352,ok-saved,si,si
AIM-P001-060.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=400",548x353,ok-saved,si,si
AIM-P002-061.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=396",541x352,ok-saved,si,si
AIM-P002-062.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",544x352,ok-saved,si,si
AIM-P002-063.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-064.jpg,ok,logo separado de bloque ancho x[15:115],470x352,ok-saved,si,si
AIM-P002-065.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=402",543x352,ok-saved,si,si
AIM-P002-066.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",547x352,ok-saved,si,si
AIM-P002-067.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=397",543x353,ok-saved,si,si
AIM-P002-068.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=397",543x352,ok-saved,si,si
AIM-P002-069.jpg,ok,"logo separado de bloque ancho x[14:115] | frente/espalda fusionados, separados en x=395",545x352,ok-saved,si,si
AIM-P002-070.jpg,ok,"logo separado de bloque ancho x[91:703] | frente/espalda fusionados, separados en x=2389",700x453,ok-saved,si,si
AIM-P002-071.jpg,ok,"logo separado de bloque ancho x[15:115] | frente/espalda fusionados, separados en x=399",544x352,ok-saved,si,si
AIM-P002-072.jpg,ok,"logo separado de bloque ancho x[15:116] | frente/espalda fusionados, separados en x=398",552x352,ok-saved,si,si
AIM-P002-073.jpg,ok,"logo separado de bloque ancho x[1:105] | frente/espalda fusionados, separados en x=395",566x365,ok-saved,si,si
AIM-P002-074.jpg,ok,"logo separado de bloque ancho x[5:110] | frente/espalda fusionados, separados en x=401",568x366,ok-saved,si,si
